order_id,date,region,city,category,product,customer_type,sales_amount,quantity,discount,profit,channel,status
SO-202503-0064,2025-03-13,North China,Jinan,Home Appliances,Mini Fan,SMB,3819.84,12,0.08,-305.59,Online,Refunded
SO-202503-0412,2025-03-13,South China,Zhuhai,Home Appliances,Coffee Machine,Individual,1500,4,0,360.85,Online,Completed
SO-202503-0432,2025-03-14,North China,Jinan,Electronics,Monitor 27,Enterprise,2822.4,24,0.02,-225.79,Retail,Refunded
SO-202503-0209,2025-03-16,South China,Guangzhou,Electronics,USB-C Hub,Individual,447.95,1,0.15,-35.84,Retail,Refunded
SO-202503-0220,2025-03-18,South China,Zhuhai,Office Supplies,Printer Paper,SMB,279.3,6,0.05,72.25,Corporate,Completed
SO-202503-0016,2025-03-19,Southwest,Chengdu,Electronics,Laptop Pro 14,Individual,1479.36,3,0.08,313.91,Online,Completed
SO-202503-0359,2025-03-21,East China,Shanghai,Electronics,Wireless Mouse,Individual,2579.36,4,0.02,476.34,Partner,Pending
SO-202503-0011,2025-03-22,South China,Zhuhai,Electronics,Wireless Mouse,Enterprise,20078.08,32,0.08,4359.94,Retail,Pending
SO-202503-0348,2025-03-24,East China,Shanghai,Home Appliances,Coffee Machine,Enterprise,4450,25,0,844.42,Online,Completed
SO-202503-0172,2025-03-26,Southwest,Guiyang,Home Appliances,Air Purifier,Individual,752,4,0,176.54,Online,Completed
SO-202503-0040,2025-03-27,Southwest,Chongqing,Software,Analytics Add-on,SMB,3418.1,7,0.05,-273.45,Online,Refunded
SO-202503-0091,2025-03-28,South China,Shenzhen,Office Supplies,Notebook Set,SMB,515.2,8,0.08,134.91,Online,Pending
SO-202503-0312,2025-03-29,East China,Suzhou,Software,Cloud Storage,Individual,6997.2,7,0.02,3427.63,Retail,Pending
SO-202503-0516,2025-03-29,South China,Zhuhai,Office Supplies,Desk Organizer,Enterprise,682,11,0,194.07,Partner,Completed
SO-202503-0123,2025-03-31,North China,Qingdao,Electronics,USB-C Hub,Individual,9090.48,12,0.02,1360.93,Corporate,Completed
SO-202504-0178,2025-04-02,North China,Beijing,Home Appliances,Coffee Machine,SMB,2304.96,7,0.02,520.36,Online,Completed
SO-202504-0414,2025-04-02,South China,Zhuhai,Office Supplies,Desk Organizer,SMB,68.4,9,0.05,17.02,Online,Completed
SO-202504-0442,2025-04-02,North China,Jinan,Software,Analytics Add-on,Individual,6478.78,11,0.02,3336.88,Retail,Pending
SO-202504-0387,2025-04-03,North China,Qingdao,Office Supplies,Notebook Set,Individual,961.2,12,0.1,285.07,Online,Pending
SO-202504-0058,2025-04-04,East China,Shanghai,Home Appliances,Air Purifier,SMB,1150.2,9,0.1,-92.02,Retail,Refunded
SO-202504-0059,2025-04-04,Southwest,Kunming,Software,Security Suite,Enterprise,18601.0,22,0.05,-1488.08,Corporate,Refunded
SO-202504-0352,2025-04-04,North China,Beijing,Electronics,USB-C Hub,Enterprise,4946.4,24,0.1,1004.54,Retail,Completed
SO-202504-0225,2025-04-05,North China,Beijing,Electronics,Monitor 27,Individual,5179.6,10,0.08,1008.25,Online,Completed
SO-202504-0087,2025-04-06,Southwest,Chengdu,Home Appliances,Desk Lamp,Enterprise,10080.45,27,0.05,-806.44,Online,Refunded
SO-202504-0272,2025-04-06,North China,Qingdao,Office Supplies,Notebook Set,SMB,419.52,8,0.08,127.53,Partner,Completed
SO-202504-0426,2025-04-10,North China,Jinan,Home Appliances,Mini Fan,SMB,425.0,2,0.15,101.97,Corporate,Pending
SO-202504-0015,2025-04-11,South China,Zhuhai,Home Appliances,Air Purifier,Individual,474.32,4,0.02,95.95,Retail,Completed
SO-202504-0488,2025-04-12,South China,Guangzhou,Software,CRM License,SMB,7344.0,10,0.1,3287.96,Retail,Completed
SO-202504-0003,2025-04-15,South China,Zhuhai,Electronics,USB-C Hub,Enterprise,3608,22,0,664.46,Corporate,Pending
SO-202504-0044,2025-04-15,North China,Beijing,Electronics,USB-C Hub,Enterprise,1922.8,11,0.08,395.69,Partner,Completed
SO-202504-0256,2025-04-15,South China,Foshan,Home Appliances,Mini Fan,SMB,716.3,2,0.05,143.9,Online,Completed
SO-202504-0476,2025-04-15,East China,Hangzhou,Office Supplies,Printer Paper,SMB,176,8,0,48.99,Online,Completed
SO-202504-0278,2025-04-16,Southwest,Guiyang,Electronics,Laptop Pro 14,Enterprise,13780.2,21,0.15,2669.47,Online,Completed
SO-202504-0339,2025-04-16,South China,Guangzhou,Software,CRM License,SMB,7161.84,9,0.02,-572.95,Online,Refunded
SO-202504-0268,2025-04-18,South China,Foshan,Electronics,Laptop Pro 14,Individual,3175.2,10,0.02,-254.02,Partner,Refunded
SO-202504-0384,2025-04-22,Southwest,Guiyang,Electronics,Wireless Mouse,Enterprise,17966,26,0,-1437.28,Partner,Refunded
SO-202504-0392,2025-04-22,Southwest,Chongqing,Office Supplies,Desk Organizer,SMB,615.6,12,0.05,-49.25,Retail,Refunded
SO-202504-0001,2025-04-25,South China,Foshan,Office Supplies,Printer Paper,Enterprise,152,8,0,37.62,Retail,Completed
SO-202504-0152,2025-04-25,South China,Shenzhen,Office Supplies,Printer Paper,Enterprise,952,28,0,-76.16,Corporate,Refunded
SO-202504-0504,2025-04-25,South China,Foshan,Software,CRM License,Enterprise,15084.1,19,0.15,-1206.73,Retail,Refunded
SO-202504-0273,2025-04-26,East China,Shanghai,Office Supplies,Notebook Set,Enterprise,1520.0,25,0.05,439.14,Partner,Completed
SO-202504-0386,2025-04-26,East China,Hangzhou,Software,Cloud Storage,SMB,933.3,1,0.15,-74.66,Corporate,Refunded
SO-202504-0092,2025-04-27,North China,Jinan,Electronics,USB-C Hub,Enterprise,15225,35,0,2140.86,Partner,Completed
SO-202504-0009,2025-04-28,North China,Qingdao,Electronics,USB-C Hub,Individual,964.32,8,0.02,174.17,Partner,Completed
SO-202504-0292,2025-04-28,North China,Jinan,Office Supplies,Printer Paper,Enterprise,523.6,28,0.15,137.51,Online,Pending
SO-202505-0122,2025-05-01,North China,Qingdao,Software,Analytics Add-on,Enterprise,14531.4,15,0.08,-1162.51,Corporate,Refunded
SO-202505-0213,2025-05-01,South China,Foshan,Software,Security Suite,SMB,7595.52,12,0.08,3652.4,Online,Completed
SO-202505-0135,2025-05-02,East China,Shanghai,Software,Security Suite,Enterprise,14510.7,23,0.1,6431.44,Corporate,Completed
SO-202505-0150,2025-05-02,Southwest,Kunming,Office Supplies,Marker Pack,Enterprise,617.4,14,0.02,-49.39,Corporate,Refunded
SO-202505-0212,2025-05-03,South China,Shenzhen,Electronics,Wireless Mouse,SMB,5724.18,9,0.02,1144.73,Partner,Completed
SO-202505-0076,2025-05-07,Southwest,Kunming,Home Appliances,Coffee Machine,Individual,613.8,11,0.1,126.59,Corporate,Pending
SO-202505-0266,2025-05-07,North China,Beijing,Software,Security Suite,Enterprise,7336.08,9,0.08,3488.64,Online,Completed
SO-202505-0298,2025-05-07,South China,Guangzhou,Software,CRM License,Individual,11291.4,12,0.15,5737.35,Corporate,Completed
SO-202505-0483,2025-05-07,Southwest,Chengdu,Office Supplies,Marker Pack,Enterprise,325,25,0,-26.0,Corporate,Refunded
SO-202505-0057,2025-05-08,Southwest,Kunming,Software,Security Suite,SMB,1770.8,2,0.05,864.68,Partner,Completed
SO-202505-0108,2025-05-08,North China,Beijing,Office Supplies,Desk Organizer,Enterprise,397.1,22,0.05,-31.77,Partner,Refunded
SO-202505-0051,2025-05-10,North China,Beijing,Electronics,USB-C Hub,Enterprise,5796.0,28,0.08,1015.68,Retail,Completed
SO-202505-0031,2025-05-11,East China,Suzhou,Software,Analytics Add-on,SMB,3270.6,9,0.08,1644.66,Corporate,Pending
SO-202505-0311,2025-05-11,East China,Hangzhou,Electronics,Wireless Mouse,Individual,1368.0,5,0.1,261.3,Online,Completed
SO-202505-0429,2025-05-14,Southwest,Chongqing,Electronics,Wireless Mouse,SMB,1497.2,8,0.05,301.76,Corporate,Completed
SO-202505-0014,2025-05-16,Southwest,Chongqing,Software,Cloud Storage,Individual,1104.0,2,0.08,562.05,Retail,Completed
SO-202505-0250,2025-05-18,North China,Jinan,Home Appliances,Mini Fan,Enterprise,6803.4,29,0.15,1488.29,Partner,Pending
SO-202505-0282,2025-05-18,Southwest,Chengdu,Electronics,Monitor 27,Enterprise,12104.0,20,0.15,2276.08,Partner,Completed
SO-202505-0078,2025-05-19,Southwest,Guiyang,Home Appliances,Coffee Machine,SMB,3814.25,11,0.05,696.55,Retail,Completed
SO-202505-0221,2025-05-20,South China,Shenzhen,Electronics,Wireless Mouse,SMB,3151.68,6,0.02,-252.13,Partner,Refunded
SO-202505-0417,2025-05-20,South China,Shenzhen,Software,Cloud Storage,Enterprise,15078.8,22,0.08,7063.28,Partner,Completed
SO-202505-0110,2025-05-21,South China,Foshan,Software,Analytics Add-on,SMB,4331.6,10,0.02,2195.24,Partner,Pending
SO-202505-0136,2025-05-21,North China,Jinan,Software,Analytics Add-on,SMB,10746.0,10,0.1,5363.82,Retail,Completed
SO-202505-0470,2025-05-21,East China,Hangzhou,Software,Security Suite,Individual,3196.0,5,0.15,1524.74,Partner,Completed
SO-202505-0140,2025-05-22,East China,Nanjing,Software,Cloud Storage,Individual,3685.6,8,0.15,1849.28,Corporate,Completed
SO-202505-0124,2025-05-23,East China,Suzhou,Electronics,USB-C Hub,SMB,2154.6,9,0.05,-172.37,Corporate,Refunded
SO-202505-0219,2025-05-26,North China,Beijing,Electronics,Wireless Mouse,Enterprise,15584.94,27,0.02,-1246.8,Partner,Refunded
SO-202505-0231,2025-05-26,East China,Suzhou,Home Appliances,Desk Lamp,Individual,716,2,0,159.03,Partner,Completed
SO-202505-0320,2025-05-29,Southwest,Guiyang,Electronics,Laptop Pro 14,Individual,1109.52,6,0.08,-88.76,Corporate,Refunded
SO-202505-0379,2025-05-29,East China,Nanjing,Electronics,Laptop Pro 14,SMB,414.0,3,0.08,68.01,Retail,Completed
SO-202505-0448,2025-05-29,East China,Suzhou,Office Supplies,Marker Pack,Individual,668.8,8,0.05,171.33,Corporate,Completed
SO-202505-0464,2025-05-29,Southwest,Kunming,Office Supplies,Notebook Set,Enterprise,2509.2,41,0.1,736.08,Corporate,Pending
SO-202505-0245,2025-05-31,South China,Zhuhai,Office Supplies,Printer Paper,Individual,158.1,3,0.15,43.45,Retail,Completed
SO-202506-0270,2025-06-02,South China,Guangzhou,Electronics,USB-C Hub,SMB,1911.0,5,0.02,401.18,Retail,Completed
SO-202506-0377,2025-06-05,North China,Jinan,Office Supplies,Notebook Set,Enterprise,2500.96,29,0.02,-200.08,Partner,Refunded
SO-202506-0380,2025-06-05,East China,Shanghai,Office Supplies,Printer Paper,Enterprise,1683.0,22,0.1,435.18,Online,Completed
SO-202506-0151,2025-06-06,Southwest,Kunming,Software,Cloud Storage,Individual,6306.3,11,0.1,3129.82,Retail,Completed
SO-202506-0166,2025-06-06,East China,Nanjing,Office Supplies,Marker Pack,SMB,306.0,9,0.15,-24.48,Retail,Refunded
SO-202506-0128,2025-06-07,East China,Nanjing,Electronics,Laptop Pro 14,Individual,7029.0,11,0.1,1218.32,Online,Completed
SO-202506-0356,2025-06-07,North China,Qingdao,Software,Security Suite,Individual,3258,9,0,-260.64,Online,Refunded
SO-202506-0157,2025-06-08,North China,Tianjin,Electronics,Laptop Pro 14,Enterprise,9150,25,0,1607.79,Partner,Completed
SO-202506-0446,2025-06-11,South China,Zhuhai,Electronics,Laptop Pro 14,Enterprise,11724.9,19,0.15,2276.37,Retail,Completed
SO-202506-0388,2025-06-13,Southwest,Guiyang,Electronics,Wireless Mouse,Enterprise,9282.0,40,0.15,1337.58,Corporate,Completed
SO-202506-0299,2025-06-14,East China,Hangzhou,Home Appliances,Desk Lamp,Individual,3094.85,11,0.15,693.16,Online,Completed
SO-202506-0462,2025-06-14,North China,Tianjin,Office Supplies,Printer Paper,Individual,88.32,2,0.08,23.04,Retail,Completed
SO-202506-0024,2025-06-15,Southwest,Guiyang,Electronics,Laptop Pro 14,Enterprise,16611.0,25,0.02,2896.67,Online,Completed
SO-202506-0453,2025-06-15,Southwest,Chengdu,Software,Cloud Storage,Enterprise,18929.5,34,0.15,8331.05,Retail,Completed
SO-202506-0026,2025-06-16,East China,Suzhou,Electronics,Wireless Mouse,SMB,3496.9,11,0.15,519.81,Corporate,Completed
SO-202506-0473,2025-06-16,South China,Shenzhen,Home Appliances,Coffee Machine,SMB,596.7,3,0.15,150.95,Retail,Completed
SO-202506-0441,2025-06-18,Southwest,Chongqing,Electronics,Wireless Mouse,Enterprise,15150,30,0,2128.7,Online,Completed
SO-202506-0491,2025-06-18,Southwest,Guiyang,Office Supplies,Desk Organizer,SMB,119.0,2,0.15,-9.52,Partner,Refunded
SO-202506-0185,2025-06-20,South China,Zhuhai,Home Appliances,Coffee Machine,Individual,559.8,2,0.1,125.75,Online,Pending
SO-202506-0237,2025-06-20,Southwest,Guiyang,Software,Security Suite,Individual,5136,8,0,2588.21,Partner,Completed
SO-202506-0043,2025-06-21,South China,Shenzhen,Home Appliances,Air Purifier,SMB,4160,10,0,945.85,Online,Completed
SO-202506-0322,2025-06-23,South China,Foshan,Office Supplies,Notebook Set,Individual,243.8,5,0.08,69.94,Retail,Pending
SO-202506-0070,2025-06-24,East China,Shanghai,Software,Analytics Add-on,Enterprise,9196.0,22,0.05,-735.68,Partner,Refunded
SO-202506-0450,2025-06-24,East China,Shanghai,Software,Cloud Storage,Enterprise,20486.7,26,0.15,10444.28,Retail,Completed
SO-202506-0193,2025-06-27,East China,Suzhou,Home Appliances,Desk Lamp,SMB,1864,8,0,407.78,Retail,Completed
SO-202506-0234,2025-06-28,North China,Tianjin,Office Supplies,Marker Pack,Enterprise,346.8,17,0.15,-27.74,Corporate,Refunded
SO-202506-0308,2025-06-28,Southwest,Guiyang,Home Appliances,Air Purifier,SMB,874.0,4,0.05,-69.92,Corporate,Refunded
SO-202506-0330,2025-06-28,Southwest,Chengdu,Software,Security Suite,Individual,2957.35,11,0.05,1386.78,Online,Completed
SO-202506-0324,2025-06-29,Southwest,Chengdu,Electronics,USB-C Hub,Individual,2929.95,9,0.15,-234.4,Corporate,Refunded
SO-202506-0401,2025-06-29,South China,Foshan,Electronics,Wireless Mouse,SMB,1278.9,9,0.02,-102.31,Online,Refunded
SO-202507-0295,2025-07-02,North China,Beijing,Office Supplies,Desk Organizer,SMB,472,8,0,127.99,Partner,Completed
SO-202507-0170,2025-07-03,South China,Guangzhou,Office Supplies,Printer Paper,Enterprise,1378,26,0,-110.24,Retail,Refunded
SO-202507-0047,2025-07-06,Southwest,Chongqing,Home Appliances,Mini Fan,SMB,539.0,10,0.02,-43.12,Corporate,Refunded
SO-202507-0115,2025-07-06,East China,Shanghai,Software,CRM License,Individual,1078.25,1,0.05,518.89,Corporate,Pending
SO-202507-0126,2025-07-06,East China,Suzhou,Electronics,Laptop Pro 14,SMB,812.25,3,0.05,175.28,Retail,Pending
SO-202507-0259,2025-07-07,North China,Beijing,Office Supplies,Desk Organizer,Enterprise,1330.0,28,0.05,368.54,Retail,Completed
SO-202507-0050,2025-07-09,East China,Hangzhou,Software,Security Suite,Individual,1379.4,4,0.05,608.5,Corporate,Pending
SO-202507-0480,2025-07-09,North China,Beijing,Electronics,Wireless Mouse,Enterprise,14688.0,34,0.1,2340.47,Corporate,Pending
SO-202507-0331,2025-07-11,North China,Tianjin,Home Appliances,Coffee Machine,SMB,400.35,3,0.15,96.15,Corporate,Completed
SO-202507-0354,2025-07-11,North China,Qingdao,Software,Security Suite,Individual,8712.45,9,0.05,-697.0,Retail,Refunded
SO-202507-0400,2025-07-11,South China,Foshan,Home Appliances,Air Purifier,SMB,456.0,2,0.05,89.96,Corporate,Completed
SO-202507-0061,2025-07-12,North China,Jinan,Software,CRM License,SMB,8269.65,9,0.15,3959.32,Retail,Completed
SO-202507-0257,2025-07-12,East China,Hangzhou,Electronics,Monitor 27,Enterprise,2820.72,21,0.08,482.52,Corporate,Completed
SO-202507-0460,2025-07-13,South China,Guangzhou,Office Supplies,Desk Organizer,Enterprise,2079.0,33,0.1,-166.32,Partner,Refunded
SO-202507-0132,2025-07-14,East China,Suzhou,Software,Cloud Storage,SMB,635.04,1,0.02,290.35,Corporate,Completed
SO-202507-0258,2025-07-14,North China,Tianjin,Software,Security Suite,Individual,2823.48,11,0.08,1271.23,Corporate,Completed
SO-202507-0139,2025-07-15,South China,Zhuhai,Home Appliances,Coffee Machine,SMB,3304.8,12,0.1,838.24,Retail,Completed
SO-202507-0370,2025-07-15,North China,Qingdao,Electronics,USB-C Hub,SMB,5720,10,0,1223.72,Retail,Completed
SO-202507-0357,2025-07-16,South China,Guangzhou,Software,Cloud Storage,Individual,1512,6,0,777.8,Corporate,Completed
SO-202507-0427,2025-07-19,North China,Tianjin,Home Appliances,Air Purifier,Individual,270.3,1,0.15,58.3,Online,Completed
SO-202507-0467,2025-07-19,Southwest,Kunming,Electronics,USB-C Hub,Individual,6684,12,0,1087.97,Partner,Completed
SO-202507-0263,2025-07-24,North China,Beijing,Home Appliances,Desk Lamp,Enterprise,2664.75,17,0.05,-213.18,Online,Refunded
SO-202507-0371,2025-07-24,North China,Tianjin,Electronics,Laptop Pro 14,Individual,2303.5,10,0.15,470.7,Online,Completed
SO-202507-0012,2025-07-25,North China,Jinan,Home Appliances,Coffee Machine,Individual,802.8,4,0.1,180.08,Partner,Pending
SO-202507-0404,2025-07-25,East China,Nanjing,Home Appliances,Mini Fan,Enterprise,1300,10,0,333.66,Partner,Pending
SO-202507-0486,2025-07-25,Southwest,Chengdu,Office Supplies,Marker Pack,SMB,846.6,12,0.15,267.07,Partner,Completed
SO-202507-0023,2025-07-28,North China,Jinan,Home Appliances,Air Purifier,Enterprise,1799.28,36,0.02,415.58,Online,Completed
SO-202507-0318,2025-07-28,Southwest,Guiyang,Office Supplies,Desk Organizer,SMB,221.0,5,0.15,55.48,Partner,Completed
SO-202507-0514,2025-07-28,East China,Nanjing,Home Appliances,Coffee Machine,Individual,1064.0,7,0.05,253.38,Partner,Completed
SO-202507-0456,2025-07-29,East China,Nanjing,Office Supplies,Notebook Set,Enterprise,745.2,23,0.1,219.4,Partner,Completed
SO-202507-0190,2025-07-30,North China,Beijing,Electronics,Wireless Mouse,SMB,2163.84,4,0.08,394.29,Corporate,Completed
SO-202507-0463,2025-07-30,South China,Foshan,Home Appliances,Desk Lamp,SMB,1836,9,0,-146.88,Corporate,Refunded
SO-202507-0496,2025-07-30,North China,Jinan,Home Appliances,Desk Lamp,SMB,2625,7,0,648.98,Corporate,Pending
SO-202508-0391,2025-08-01,South China,Shenzhen,Office Supplies,Notebook Set,Individual,230.85,3,0.05,72.4,Corporate,Completed
SO-202508-0469,2025-08-01,North China,Jinan,Home Appliances,Air Purifier,Individual,185.22,1,0.02,41.58,Partner,Pending
SO-202508-0197,2025-08-03,North China,Jinan,Office Supplies,Printer Paper,Individual,46.8,1,0.1,13.25,Retail,Completed
SO-202508-0262,2025-08-03,East China,Hangzhou,Software,CRM License,Enterprise,15375.96,27,0.08,6771.17,Retail,Pending
SO-202508-0294,2025-08-04,East China,Suzhou,Electronics,Wireless Mouse,Enterprise,4709,17,0,692.23,Partner,Completed
SO-202508-0093,2025-08-05,East China,Nanjing,Home Appliances,Mini Fan,Individual,835.2,8,0.1,197.35,Online,Pending
SO-202508-0143,2025-08-08,East China,Nanjing,Home Appliances,Desk Lamp,Enterprise,5950.8,38,0.1,1178.58,Online,Completed
SO-202508-0254,2025-08-08,East China,Hangzhou,Office Supplies,Desk Organizer,Enterprise,673.2,11,0.1,204.7,Partner,Completed
SO-202508-0363,2025-08-08,North China,Beijing,Home Appliances,Desk Lamp,Individual,912.0,8,0.05,229.07,Online,Completed
SO-202508-0497,2025-08-08,North China,Qingdao,Electronics,USB-C Hub,Individual,2033.0,10,0.05,329.08,Partner,Pending
SO-202508-0281,2025-08-09,Southwest,Chongqing,Home Appliances,Air Purifier,Individual,2618.0,11,0.15,594.67,Partner,Pending
SO-202508-0079,2025-08-11,Southwest,Guiyang,Office Supplies,Desk Organizer,Enterprise,1966.5,23,0.05,501.82,Online,Completed
SO-202508-0163,2025-08-11,Southwest,Chongqing,Home Appliances,Mini Fan,Individual,626.4,4,0.1,-50.11,Online,Refunded
SO-202508-0196,2025-08-12,Southwest,Chengdu,Office Supplies,Desk Organizer,SMB,95,5,0,28.69,Online,Completed
SO-202508-0327,2025-08-12,North China,Tianjin,Office Supplies,Marker Pack,Individual,482.16,12,0.02,147.92,Retail,Pending
